voyageID,yearIn_num,voyage_duration,reason
AV00003,1868,0,nonpositive
AV00015,1878,0,nonpositive
AV00036,1849,0,nonpositive
AV00037,1850,0,nonpositive
AV00038,1851,0,nonpositive
AV00040,1852,0,nonpositive
AV00105,1839,0,nonpositive
AV00113,1813,0,nonpositive
AV00159,1891,0,nonpositive
AV00193,1862,0,nonpositive
AV00208,1863,0,nonpositive
AV00213,1866,0,nonpositive
AV00214,1867,0,nonpositive
AV00217,1870,0,nonpositive
AV00218,1871,0,nonpositive
AV00219,1872,0,nonpositive
AV00243,1897,0,nonpositive
AV00245,1898,0,nonpositive
AV00270,1870,0,nonpositive
AV00279,1874,0,nonpositive
AV00281,1875,0,nonpositive
AV00283,1876,0,nonpositive
AV00287,1880,0,nonpositive
AV00288,1881,0,nonpositive
AV00289,1882,0,nonpositive
AV00291,1885,0,nonpositive
AV00292,1853,0,nonpositive
AV00293,1854,0,nonpositive
AV00294,1855,0,nonpositive
AV00295,1856,0,nonpositive
AV00296,1857,0,nonpositive
AV00298,1860,0,nonpositive
AV00299,1861,0,nonpositive
AV00300,1862,0,nonpositive
AV00301,1863,0,nonpositive
AV00302,1864,0,nonpositive
AV00304,1865,0,nonpositive
AV00332,1836,0,nonpositive
AV00333,1836,0,nonpositive
AV00335,1838,0,nonpositive
AV00345,1871,0,nonpositive
AV00346,1872,0,nonpositive
AV00347,1873,0,nonpositive
AV00348,1874,0,nonpositive
AV00351,1879,0,nonpositive
AV00352,1880,0,nonpositive
AV00353,1881,0,nonpositive
AV00354,1882,0,nonpositive
AV00355,1883,0,nonpositive
AV00356,1884,0,nonpositive
AV00357,1885,0,nonpositive
AV00358,1886,0,nonpositive
AV00359,1887,0,nonpositive
AV00367,1855,0,nonpositive
AV00382,1879,0,nonpositive
AV00383,1880,0,nonpositive
AV00384,1890,0,nonpositive
AV00389,1893,0,nonpositive
AV00390,1899,0,nonpositive
AV00420,1872,0,nonpositive
AV00421,1873,0,nonpositive
AV00422,1874,0,nonpositive
AV00423,1875,0,nonpositive
AV00429,1885,0,nonpositive
AV00430,1886,0,nonpositive
AV00431,1886,0,nonpositive
AV00432,1887,0,nonpositive
AV00436,1892,0,nonpositive
AV00454,1862,0,nonpositive
AV00471,1851,0,nonpositive
AV00472,1852,0,nonpositive
AV00473,1853,0,nonpositive
AV00475,1854,0,nonpositive
AV00477,1856,0,nonpositive
AV00478,1857,0,nonpositive
AV00479,1858,0,nonpositive
AV00480,1859,0,nonpositive
AV00481,1859,0,nonpositive
AV00482,1860,0,nonpositive
AV00483,1860,0,nonpositive
AV00484,1861,0,nonpositive
AV00488,1864,0,nonpositive
AV00489,1865,0,nonpositive
AV00491,1867,0,nonpositive
AV00492,1869,0,nonpositive
AV00495,1885,0,nonpositive
AV00503,1897,0,nonpositive
AV00504,1898,0,nonpositive
AV00505,1899,0,nonpositive
AV00527,1856,0,nonpositive
AV00597,1852,0,nonpositive
AV00598,1853,0,nonpositive
AV00599,1854,0,nonpositive
AV00600,1855,0,nonpositive
AV00601,1856,0,nonpositive
AV00602,1857,0,nonpositive
AV00605,1858,0,nonpositive
AV00606,1859,0,nonpositive
AV00607,1860,0,nonpositive
AV00608,1861,0,nonpositive
AV00609,1862,0,nonpositive
