year,voyages_total,voyages_with_duration,mean_duration,median_duration,conflict_voyages
1810,37,36,1.5278,2.0,0
1811,26,24,1.75,2.0,0
1812,35,27,1.5556,2.0,0
1813,31,27,1.8519,2.0,0
1814,4,4,3.0,2.5,0
1815,30,0,0.0,0.0,0
1816,55,23,1.2174,1.0,0
1817,51,41,1.6098,2.0,0
1818,55,40,1.425,1.0,0
1819,53,52,1.5192,1.0,0
1820,76,65,1.5077,1.0,0
1821,90,73,1.6164,1.0,0
1822,106,84,1.5952,1.0,0
1823,109,100,1.85,2.0,0
1824,96,93,1.9247,2.0,0
1825,79,75,1.8533,1.0,0
1826,55,53,1.6038,1.0,0
1827,87,75,1.8933,2.0,0
1828,99,87,1.8276,2.0,0
1829,106,101,1.6931,1.0,0
1830,128,117,1.7094,1.0,0
1831,136,122,1.7377,1.0,0
1832,150,142,1.5986,1.0,0
1833,177,161,1.6398,1.0,0
1834,179,158,1.9367,2.0,0
1835,208,191,2.2618,2.0,0
1836,190,168,2.2083,2.0,0
1837,266,247,2.1741,2.0,0
1838,250,231,1.9697,2.0,0
1839,255,242,2.0909,2.0,0
1840,259,238,2.0336,2.0,0
1841,246,219,2.0959,2.0,0
1842,244,224,2.1339,2.0,0
1843,254,246,2.2724,2.0,0
1844,254,230,2.5087,2.0,0
1845,283,249,2.6988,2.0,0
1846,227,198,2.5909,3.0,0
1847,270,253,2.7984,3.0,0
1848,238,221,2.8959,3.0,0
1849,221,196,3.0408,3.0,0
1850,213,178,3.0056,3.0,0
1851,257,222,2.8198,3.0,0
1852,167,135,2.7556,3.0,0
1853,276,227,2.6872,3.0,0
1854,265,235,2.6979,3.0,0
1855,205,174,3.069,4.0,0
1856,244,208,2.8029,3.0,0
1857,255,229,2.9563,3.0,0
1858,224,193,2.7876,3.0,0
1859,215,188,3.0053,3.0,0
1860,205,182,3.1264,3.5,0
1861,206,176,3.0909,4.0,0
1862,163,136,3.125,3.0,0
1863,156,128,2.9922,3.0,0
1864,137,113,2.9912,3.0,0
1865,148,117,2.5128,2.0,0
1866,112,77,2.1169,1.0,0
1867,139,108,2.037,2.0,0
1868,139,123,2.0976,2.0,0
1869,125,108,2.4444,2.0,0
1870,132,115,2.3043,2.0,0
1871,141,124,2.9274,3.0,0
1872,76,58,2.8103,3.0,0
1873,76,61,2.6557,3.0,0
1874,64,47,2.8298,3.0,0
1875,70,54,2.6111,3.0,0
1876,84,61,2.459,2.0,0
1877,68,58,2.0345,2.0,0
1878,94,73,2.2329,2.0,0
1879,90,69,2.2029,2.0,0
1880,81,63,2.2857,2.0,0
1881,99,69,2.1159,2.0,0
1882,80,64,2.0781,1.0,0
1883,86,58,1.7241,1.0,0
1884,92,66,1.8939,1.0,0
1885,91,56,1.5536,1.0,0
1886,85,46,1.9565,1.0,0
1887,72,52,1.6154,1.0,0
1888,63,42,1.4286,1.0,0
1889,76,51,1.4902,1.0,0
1890,69,47,1.8085,1.0,0
1891,64,37,1.3514,1.0,0
1892,62,39,1.359,1.0,0
1893,56,27,1.4444,1.0,0
1894,45,31,1.6452,1.0,0
1895,33,23,1.6522,1.0,0
1896,41,26,1.7692,1.5,0
1897,33,18,1.8889,1.0,0
1898,34,21,1.6667,1.0,0
1899,31,17,2.0,2.0,0
